lead,mes,NS,Pbias,CV,Pearson,CRPSSad,Brier_Q10,Brier_Q10_Q25,Brier_Q25_Q75,Brier_Q75_Q90,Brier_Q90,N_det,N_prob
4,2,-0.05052462339970187,-0.19889587451497245,1.3029478788941156,-0.6264784771551488,0.004946042490876712,-0.021257944334867496,-0.017519433809026763,-0.028994082840236635,-0.03750112799886551,-0.03879026955950038,40,40
4,3,-0.045319089243141875,-0.1792433255615921,1.599156195428002,-0.8117798739829308,0.010805035270168184,0.016363503542990876,-0.051423856853721084,-0.0556213017751479,-0.009655670289154372,-0.05376579735554099,40,40
4,4,-0.04371233120003115,0.04530350052442308,1.5448141850907389,-0.9615798623491931,0.004256696010309868,-0.006647673314339908,-0.040595067744389146,-0.11413543721236019,-0.05193951347797543,-0.051939513477974764,40,40
4,5,-0.04683622686113553,0.07604055836285667,1.1196024401731561,-0.8548528374660145,0.002609545458378437,-0.020775623268697974,-0.03904343582235237,-0.05847560975609767,-0.038921425085407524,-0.04847645429362868,41,41
4,6,-0.052292969516797294,-0.09003690169582342,1.083097830164596,-0.7012590056238084,-0.0013730346432623275,-0.049342105263157965,-0.06027330405075637,-0.05756097560975615,-0.05429477794045878,-0.06371191135734078,41,41
4,7,-0.009994892571335567,0.44924079597330424,0.7496226742235642,-0.03672562030132005,0.022978111907722587,0.008137119113573399,-0.05283064909712043,-0.05310975609756108,-0.040995607613469875,-0.03133656509695304,41,41
4,8,-0.03130866173986102,2.3703434882767453,0.8723910856961055,-0.08472298979887524,0.03161194524449196,-0.042763157894736725,0.010858955588091912,-0.029695121951219372,-0.03855539287457321,-0.037915512465373835,41,41
4,9,-0.024231641510430224,1.9140691946638937,0.8933699672793938,-0.09972888713156308,0.01691231071572985,-0.08708448753462572,-0.029404587603709453,-0.037195121951219656,-0.022693997071742578,-0.040166204986149534,41,41
4,10,-0.04893269774768694,0.3392461032376742,0.9250974945802202,-0.38001907593069634,0.0022194751164343884,-0.08708448753462572,-0.061615422157150324,-0.08164634146341476,-0.056368960468521356,-0.04691828254847641,41,41
4,11,-0.06548754734562223,0.29797907549405195,1.1783397947803558,-0.6707730553927056,-0.004229605803275804,-0.1059975162539264,-0.020097716930296494,-0.03175542406311638,-0.04381792164597598,-0.0623493315801007,40,40
4,12,-0.051387352505630535,0.19463324642871405,1.7037974875374644,-0.7840636172781268,-0.0017897181087704883,-0.09650084009058357,-0.05219734179010205,-0.05154503616042061,-0.10505214577612776,-0.051939513477974764,40,40
5,1,-0.05190868945756666,0.05379216495892159,2.024500243430056,-0.9526739796718906,-0.00221097979177598,-0.07677697421287144,-0.048845573732451575,-0.048126232741617425,-0.048329917108197895,-0.051939513477974986,40,40
5,2,-0.05278766360288856,0.13116351855918987,1.3043505291004387,-0.9024965734657827,-0.0017969103075081705,-0.09522244137628766,-0.03595415812610381,-0.05687047994740291,-0.035309587345786486,-0.05394842574329739,40,40
5,3,-0.051949060664433944,-0.0578978749817761,1.604219530456576,-0.9601992316241503,0.0020297749887561167,-0.06545401417196284,-0.05361539750679989,-0.05555555555555536,-0.05503345322349862,-0.051939513477974764,40,40
5,4,-0.049949406185653134,-0.02545361174579833,1.5494231036343542,-0.9950618038556782,0.001351555086424483,-0.025823654028782395,-0.05567802400381594,-0.06548323471400375,-0.05193951347797543,-0.051939513477974764,40,40
5,5,-0.05003168438799399,0.016403637379004535,1.1525628836959276,-0.985175690136719,0.0015561098419742958,-0.055226824457593526,-0.03157107681994553,-0.0517422748191978,-0.040595067744389146,-0.06527138578420622,40,40
5,6,-0.04650000727221082,0.03351476217653177,1.0801124429812665,-0.9541881908284979,0.0018208332287892315,-0.04968836565096946,-0.052342606149341275,-0.05249999999999999,-0.04367984382625667,-0.048649584487534536,41,41
5,7,-0.04394929197812547,-0.39108891889679637,0.762119067922939,-0.7198298446494302,0.003786535488626619,-0.0517659279778393,-0.02708638360175697,-0.055853658536585415,-0.04221571498291832,-0.05211218836565101,41,41
5,8,-0.039722021793913154,1.1049614833781094,0.8759423172685471,-0.4437927778736838,0.012846213707352172,-0.06128808864265922,-0.05478282088823816,-0.04524390243902454,-0.049170326988775326,-0.04743767313019376,41,41
5,9,-0.03963400009177076,1.8549085218089976,0.9000621347328434,-0.3401372458187518,0.004896799081367309,-0.10976454293628812,-0.03245485602733056,-0.05036585365853674,-0.058321132259638864,-0.04570637119113585,41,41
5,10,-0.044102177729990366,0.5872413169905814,0.9229649179877697,-0.5186150350726495,0.004363808689757054,-0.0680401662049861,-0.0352611029770622,-0.0686585365853658,-0.03635919960956557,-0.05332409972299157,41,41
5,11,-0.061981915718796854,0.44250012484635093,1.1823806711857245,-0.7784360225079158,-0.003010587477826565,-0.09193213296398883,-0.06551976573938534,-0.03993902439024377,-0.05502684236212785,-0.06405817174515249,41,41
5,12,-0.052299517363191717,0.0063395465036864135,1.7045364194106944,-0.9126702759018185,-0.0016010653791478369,-0.09047410329461592,-0.019066403681788247,-0.05996055226824426,-0.059158706217530055,-0.051939513477974764,40,40
6,1,-0.05145991016772111,-0.018736792257685018,2.024068337735127,-0.9832399535616855,0.0003551330399150787,-0.05632259478413326,-0.05322865503860985,-0.056804733727810586,-0.05193951347797543,-0.051939513477974986,40,40
6,2,-0.05453323740111027,0.03589666154184223,1.3054314199530406,-0.9768296604723838,-0.0010595893436038395,-0.08189056907005621,-0.04845883126426109,-0.06107823800131462,-0.056709337252323744,-0.0623493315801007,40,40
6,3,-0.0531022345927572,0.04061161948482259,1.6050985832051643,-0.9936083903303756,0.00011269954314219177,-0.08590839360070124,-0.0565804230962601,-0.06068376068376047,-0.046654033079372326,-0.051939513477974764,40,40
6,4,-0.051180166521134884,-0.007059535531854428,1.5503309616575145,-0.9989742211658557,0.00018772774643616152,-0.059792534151508425,-0.05928762037359325,-0.07495069033530566,-0.05193951347797543,-0.051939513477974764,40,40
6,5,-0.05160450649969173,-0.010379857208158297,1.1534257614989565,-0.9980533173510624,0.0005111935488892883,-0.051939513477974764,-0.043946835802039175,-0.03261012491781701,-0.053744311662863975,-0.047191175396303464,40,40
6,6,-0.050642399235138136,0.00454950233760021,1.1091685614218063,-0.9971957168742,0.0009501257524680007,-0.051939513477974986,-0.05193951347797521,-0.051939513477974764,-0.05193951347797521,-0.051939513477974764,40,40
6,7,-0.04871764683426405,0.031488840839249174,0.7638576168638003,-0.9765923621295589,0.0012068569900548498,-0.04882271468144039,-0.045754026354319244,-0.04658536585365858,-0.049170326988775104,-0.05055401662049874,41,41
6,8,-0.04915330251616168,0.000784836210961105,0.879906169055888,-0.940875107105152,0.0013506019667608449,-0.053670360110803284,-0.046364080039043465,-0.05499999999999994,-0.04526598340653987,-0.050380886426592886,41,41
6,9,-0.040044686762093384,0.558764003221271,0.9002398929743486,-0.7633472516526167,0.0062495713194858915,-0.05211218836565101,-0.04209370424597347,-0.050243902439024435,-0.050634455832113456,-0.04726454293628812,41,41
6,10,-0.04452330247093328,0.3485481764909682,0.9231510320413608,-0.6907439487487799,0.0023073457778470807,-0.09608725761772852,-0.04538799414348471,-0.05847560975609767,-0.030624694973157673,-0.045533240997229774,41,41
6,11,-0.0551524388850404,0.46783018880891575,1.1785726657958266,-0.8445311703200606,-0.00013115927736895294,-0.04847645429362868,-0.051976573938506965,-0.05292682926829273,-0.05673499267935611,-0.07046398891966765,41,41
6,12,-0.051202943298161774,0.053861041358301255,1.704668548387466,-0.9552427110039385,-0.0010413040777255134,-0.06527008310249305,-0.04892630551488519,-0.031890243902438886,-0.042703757930697916,-0.06111495844875359,41,41
