,1,2,3,4,5,6,7,8,9,10,11,12
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
14,0.0119934371780603,0.0419035802955387,0.0298364589963311,0.0058183427073388,0.0051355062901774,0.0394123153262129,0.1126044596617242,0.0840073362554004,0.0563120675330433,0.0388564416048402,0.0233516231521592,0.0124079450312214
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
15,0.0058101307382758,0.0206813251243654,0.0217790192129474,0.0037716619919998,0.0020123572407001,0.0195677360654333,0.0770903495888363,0.0519302912030155,-0.0004700813707352,0.0115589493625398,0.0070481560286582,0.0044764471772911
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
16,0.0110649951956451,0.030139030097018,0.0299715956738856,0.0048381154962158,0.0022854036897531,0.0326497986500924,0.090367480454103,0.0676812800134657,0.0573371111169156,0.0245533053905245,0.019825557645859,0.0073362541827549
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
17,0.0105102501519352,0.0150919391913303,0.022864060191071,0.0009435953715228,-0.0008748366085864,0.006207476601299,0.0492231495715387,0.0455273195117594,0.0628802248963793,0.0231719277634855,0.0071477513739551,0.0131263250975048
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
18,0.0295763403592773,0.0195192970617616,0.027580625771583,-0.0005642765912325,0.0077520714506539,0.023815748850589,0.1150252287924732,0.1166770581686239,0.1238562792985519,0.0538604637728665,0.0307030003862803,0.0102243621617311
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
19,0.1354922646581857,0.0473380178923075,0.0189043624803344,-0.0028470518161702,0.0278438923500436,0.0492993848596472,0.1268441857733636,0.1183790516325639,0.1317236623085903,0.0821000371780777,0.1094179562570003,0.0583094145184701
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
20,0.2025567460728848,0.0831718451725644,0.0079333372526901,-0.0038862935307675,0.003153252631234,-0.0198309812477475,0.1387462026993762,0.1191775158726609,0.1151642123822066,0.0782627415518095,0.1245653687475712,0.0822228758648039
lead,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
21,0.2288669908209331,0.0239015981111699,0.0012861657824462,-0.0061526852847324,0.0034686412873424,-0.021398303028109,0.1064010463617493,0.1038590812598525,0.0975503946262853,0.0669039246423502,0.0680859377876089,0.0795842842746883
