N_OFICIAL,NOMBRE_ESTACION,NOMBRE_GRAFANA,FEWS,GRAFANA,BOLETINES
INUMET-244,SAN GREGORIO,San Gregorio,TRUE,FALSE,FALSE
INUMET-246,SAN JAVIER,San Javier,TRUE,FALSE,FALSE
INUMET-247,SAN JORGE,San Jorge,TRUE,FALSE,FALSE
INUMET-252,SANJOSE,San José,TRUE,FALSE,FALSE
INUMET-248,SAN LUIS,San Luis,TRUE,FALSE,FALSE
INUMET-251,SANCHEZ GRANDE,Sanchez Grande,TRUE,FALSE,FALSE
INUMET-250,SAN MARTIN (S.CATALI,Santa Catalina,TRUE,FALSE,FALSE
INUMET-460,Santa Lucía,Santa Lucía,TRUE,FALSE,FALSE
INUMET-253,SANTAROSA,Santa Rosa,TRUE,FALSE,FALSE
INUMET-257,SARANDI DEL YI,Sarandí del Yí,TRUE,FALSE,FALSE
INUMET-261,STA.BERNARDINA,Sta. Bernardina,TRUE,FALSE,FALSE
INUMET-262,STA.LUCIA (LA CALERA,Sta. Lucía (La Calera),TRUE,FALSE,FALSE
INUMET-265,TALA,Tala,TRUE,FALSE,FALSE
INUMET-461,Toledo,Toledo,TRUE,FALSE,FALSE
INUMET-272,TREINTAYTRES,Treinta y Tres,TRUE,FALSE,FALSE
INUMET-274,TRES BOLICHES,Tres Boliches,TRUE,FALSE,FALSE
INUMET-276,TRINIDAD,Trinidad,TRUE,FALSE,FALSE
INUMET-278,V.ROSARIO,V. Rosario,TRUE,FALSE,FALSE
INUMET-281,VELAZQUEZ,Velazquez,TRUE,FALSE,FALSE
INUMET-284,VICHADERO,Vichadero,TRUE,FALSE,TRUE
INUMET-285,VILLA 25 DE MAYO,Villa 25 de Mayo,TRUE,FALSE,FALSE
INUMET-286,VILLA CARDAL,Villa Cardal,TRUE,FALSE,FALSE
INUMET-291,VILLA SOLIS DE MATAO,Villa Solis de Mataojo,TRUE,FALSE,FALSE
INUMET-292,VILLA SORIANO,Villa Soriano,TRUE,FALSE,FALSE
INUMET-293,YOUNG,Young,TRUE,FALSE,TRUE
INUMET-295,ZAPICAN,Zapicán,TRUE,FALSE,FALSE
INUMET-62,CHUY,Chuy,TRUE,FALSE,TRUE
INUMET-86,CUCHILLA DE NAVARRO,Cuchilla de Navarro,TRUE,FALSE,TRUE
INUMET-88,CUCHILLA DEL CARMEN,Cuchilla del Carmen,TRUE,FALSE,TRUE
INUMET-111,FRAILE MUERTO,Fraile Muerto,TRUE,FALSE,TRUE
INUMET-168,MOLLES (CARLOS REYLE,Molles (Carlos Reyles),TRUE,FALSE,TRUE
INUMET-175,P. DE MACIEL,P. de Maciel,TRUE,FALSE,TRUE
INUMET-259,SEQUEIRA,Sequeira,TRUE,FALSE,TRUE
INUMET-270,TOMAS GOMENSORO,Tomás Gomensoro,TRUE,FALSE,TRUE
INUMET-271,TRANQUERAS,Tranqueras,FALSE,FALSE,TRUE
INUMET-XXX,Acegua,Acegua,FALSE,FALSE,FALSE
INUMET-XXX,Achar,Achar,FALSE,FALSE,FALSE
INUMET-XXX,Arerunguá,Arerunguá,FALSE,FALSE,FALSE
INUMET-XXX,Arroyo Corto,Arroyo Corto,FALSE,FALSE,FALSE
INUMET-XXX,Baltasar Brum,Baltasar Brum,FALSE,FALSE,FALSE
INUMET-XXX,Bañado de Paja,Bañado de Paja,FALSE,FALSE,FALSE
INUMET-XXX,Base Científica Antártica Artigas,Base Científica Antártica Artigas,FALSE,FALSE,FALSE
INUMET-XXX,Bocas de Cufré,Bocas de Cufré,FALSE,FALSE,FALSE
INUMET-XXX,Cainsa,Cainsa,FALSE,FALSE,FALSE
INUMET-XXX,Cañada Nieto,Cañada Nieto,FALSE,FALSE,FALSE
INUMET-XXX,Cap. del Sauce,Cap. del Sauce,FALSE,FALSE,FALSE
