estacion,ancho_ventana,pentada_fin,parametro,valor
44,12,26,alpha,0.8381117126554156
44,12,26,beta,2334.9392878695708
44,12,26,prob.0,0
44,12,26,prob.media.0,0
44,12,27,alpha,0.8223752864962073
44,12,27,beta,2546.6990748329904
44,12,27,prob.0,0
44,12,27,prob.media.0,0
44,12,28,alpha,0.8197212806612728
44,12,28,beta,2686.7837765082495
44,12,28,prob.0,0
44,12,28,prob.media.0,0
44,12,29,alpha,0.8520332603767296
44,12,29,beta,2666.6804141833936
44,12,29,prob.0,0
44,12,29,prob.media.0,0
44,12,30,alpha,0.8845431486657604
44,12,30,beta,2553.8147523141793
44,12,30,prob.0,0
44,12,30,prob.media.0,0
44,12,31,alpha,0.9028119389185849
44,12,31,beta,2624.7506878653094
44,12,31,prob.0,0
44,12,31,prob.media.0,0
44,12,32,alpha,0.9106698483190165
44,12,32,beta,2832.21282787661
44,12,32,prob.0,0
44,12,32,prob.media.0,0
44,12,33,alpha,0.9768530984372946
44,12,33,beta,2753.835605195518
44,12,33,prob.0,0
44,12,33,prob.media.0,0
44,12,34,alpha,1.0923962626436414
44,12,34,beta,2491.0231168180835
44,12,34,prob.0,0
44,12,34,prob.media.0,0
44,12,35,alpha,1.2151265903825859
44,12,35,beta,2310.9041269361933
44,12,35,prob.0,0
44,12,35,prob.media.0,0
44,12,36,alpha,1.2958985261364853
44,12,36,beta,2269.977846633103
44,12,36,prob.0,0
44,12,36,prob.media.0,0
44,12,37,alpha,1.4376934900461547
44,12,37,beta,2182.111311847334
44,12,37,prob.0,0
44,12,37,prob.media.0,0
44,12,38,alpha,1.5187233766952941
44,12,38,beta,2257.1055548637196
44,12,38,prob.0,0
44,12,38,prob.media.0,0
44,12,39,alpha,1.6290540403378642
44,12,39,beta,2131.099128269057
44,12,39,prob.0,0
44,12,39,prob.media.0,0
44,12,40,alpha,1.6787058251941325
44,12,40,beta,2062.983218819416
44,12,40,prob.0,0
44,12,40,prob.media.0,0
44,12,41,alpha,1.8272593061845483
44,12,41,beta,1953.1817530239055
44,12,41,prob.0,0
44,12,41,prob.media.0,0
44,12,42,alpha,1.9443791019026875
44,12,42,beta,1875.4576929019513
44,12,42,prob.0,0
44,12,42,prob.media.0,0
44,12,43,alpha,2.3014719728379474
44,12,43,beta,1566.5433040830478
44,12,43,prob.0,0
44,12,43,prob.media.0,0
44,12,44,alpha,2.2850945213965783
44,12,44,beta,1693.3502456483138
44,12,44,prob.0,0
44,12,44,prob.media.0,0
44,12,45,alpha,NA
44,12,45,beta,NA
44,12,45,prob.0,NA
44,12,45,prob.media.0,NA
44,12,46,alpha,NA
44,12,46,beta,NA
44,12,46,prob.0,NA
44,12,46,prob.media.0,NA
44,12,47,alpha,NA
44,12,47,beta,NA
44,12,47,prob.0,NA
44,12,47,prob.media.0,NA
44,12,48,alpha,NA
44,12,48,beta,NA
44,12,48,prob.0,NA
44,12,48,prob.media.0,NA
44,12,49,alpha,NA
44,12,49,beta,NA
44,12,49,prob.0,NA
44,12,49,prob.media.0,NA
44,12,50,alpha,NA
44,12,50,beta,NA
44,12,50,prob.0,NA
44,12,50,prob.media.0,NA
44,12,51,alpha,NA
44,12,51,beta,NA
44,12,51,prob.0,NA
44,12,51,prob.media.0,NA
44,12,52,alpha,NA
44,12,52,beta,NA
44,12,52,prob.0,NA
44,12,52,prob.media.0,NA
44,12,53,alpha,NA
44,12,53,beta,NA
44,12,53,prob.0,NA
44,12,53,prob.media.0,NA
44,12,54,alpha,NA
44,12,54,beta,NA
44,12,54,prob.0,NA
44,12,54,prob.media.0,NA
44,12,55,alpha,NA
44,12,55,beta,NA
44,12,55,prob.0,NA
44,12,55,prob.media.0,NA
44,12,56,alpha,NA
44,12,56,beta,NA
44,12,56,prob.0,NA
44,12,56,prob.media.0,NA
44,12,57,alpha,NA
44,12,57,beta,NA
44,12,57,prob.0,NA
44,12,57,prob.media.0,NA
44,12,58,alpha,NA
44,12,58,beta,NA
44,12,58,prob.0,NA
44,12,58,prob.media.0,NA
44,12,59,alpha,NA
44,12,59,beta,NA
44,12,59,prob.0,NA
44,12,59,prob.media.0,NA
44,12,60,alpha,NA
44,12,60,beta,NA
44,12,60,prob.0,NA
44,12,60,prob.media.0,NA
44,12,61,alpha,NA
44,12,61,beta,NA
44,12,61,prob.0,NA
44,12,61,prob.media.0,NA
44,12,62,alpha,NA
44,12,62,beta,NA
44,12,62,prob.0,NA
44,12,62,prob.media.0,NA
44,12,63,alpha,NA
44,12,63,beta,NA
44,12,63,prob.0,NA
44,12,63,prob.media.0,NA
44,12,64,alpha,NA
44,12,64,beta,NA
44,12,64,prob.0,NA
44,12,64,prob.media.0,NA
44,12,65,alpha,NA
44,12,65,beta,NA
44,12,65,prob.0,NA
44,12,65,prob.media.0,NA
44,12,66,alpha,NA
44,12,66,beta,NA
44,12,66,prob.0,NA
44,12,66,prob.media.0,NA
44,12,67,alpha,1.2023018459757262
44,12,67,beta,1738.8224378320779
44,12,67,prob.0,0
44,12,67,prob.media.0,0
44,12,68,alpha,1.1659515810676524
44,12,68,beta,1676.287426261915
44,12,68,prob.0,0
44,12,68,prob.media.0,0
44,12,69,alpha,NA
44,12,69,beta,NA
44,12,69,prob.0,NA
44,12,69,prob.media.0,NA
44,12,70,alpha,1.1182829779859143
44,12,70,beta,1299.1787742116412
44,12,70,prob.0,0
44,12,70,prob.media.0,0
44,12,71,alpha,1.0701613061459634
44,12,71,beta,1342.5565648845595
44,12,71,prob.0,0
44,12,71,prob.media.0,0
44,12,72,alpha,1.070526720332137
44,12,72,beta,1242.0425881960805
44,12,72,prob.0,0
44,12,72,prob.media.0,0
44,18,1,alpha,NA
44,18,1,beta,NA
44,18,1,prob.0,NA
44,18,1,prob.media.0,NA
44,18,2,alpha,NA
44,18,2,beta,NA
44,18,2,prob.0,NA
44,18,2,prob.media.0,NA
44,18,3,alpha,NA
44,18,3,beta,NA
44,18,3,prob.0,NA
44,18,3,prob.media.0,NA
44,18,4,alpha,NA
44,18,4,beta,NA
44,18,4,prob.0,NA
44,18,4,prob.media.0,NA
44,18,5,alpha,NA
44,18,5,beta,NA
44,18,5,prob.0,NA
44,18,5,prob.media.0,NA
44,18,6,alpha,NA
44,18,6,beta,NA
44,18,6,prob.0,NA
44,18,6,prob.media.0,NA
44,18,7,alpha,NA
44,18,7,beta,NA
44,18,7,prob.0,NA
44,18,7,prob.media.0,NA
44,18,8,alpha,NA
44,18,8,beta,NA
44,18,8,prob.0,NA
44,18,8,prob.media.0,NA
44,18,9,alpha,NA
44,18,9,beta,NA
44,18,9,prob.0,NA
44,18,9,prob.media.0,NA
44,18,10,alpha,NA
44,18,10,beta,NA
44,18,10,prob.0,NA
44,18,10,prob.media.0,NA
44,18,11,alpha,NA
44,18,11,beta,NA
44,18,11,prob.0,NA
44,18,11,prob.media.0,NA
44,18,12,alpha,NA
44,18,12,beta,NA
44,18,12,prob.0,NA
44,18,12,prob.media.0,NA
44,18,13,alpha,NA
44,18,13,beta,NA
44,18,13,prob.0,NA
44,18,13,prob.media.0,NA
44,18,14,alpha,NA
44,18,14,beta,NA
44,18,14,prob.0,NA
44,18,14,prob.media.0,NA
44,18,15,alpha,NA
44,18,15,beta,NA
44,18,15,prob.0,NA
44,18,15,prob.media.0,NA
44,18,16,alpha,NA
44,18,16,beta,NA
44,18,16,prob.0,NA
44,18,16,prob.media.0,NA
44,18,17,alpha,NA
44,18,17,beta,NA
44,18,17,prob.0,NA
44,18,17,prob.media.0,NA
44,18,18,alpha,0.9396320574638461
44,18,18,beta,2108.4238203457153
44,18,18,prob.0,0
44,18,18,prob.media.0,0
44,18,19,alpha,0.9435439869175686
44,18,19,beta,2146.8523519376695
44,18,19,prob.0,0
44,18,19,prob.media.0,0
44,18,20,alpha,1.0648601735794756
44,18,20,beta,1868.8820975390913
44,18,20,prob.0,0
44,18,20,prob.media.0,0
44,18,21,alpha,1.0956956314186037
44,18,21,beta,1898.1364850787886
44,18,21,prob.0,0
44,18,21,prob.media.0,0
44,18,22,alpha,1.1207239703782321
44,18,22,beta,2033.208658742486
44,18,22,prob.0,0
44,18,22,prob.media.0,0
44,18,23,alpha,1.1056325828792901
44,18,23,beta,2157.4041785501495
44,18,23,prob.0,0
44,18,23,prob.media.0,0
44,18,24,alpha,1.1096689520745486
44,18,24,beta,2195.1867106666564
44,18,24,prob.0,0
44,18,24,prob.media.0,0
44,18,25,alpha,1.1445263411837183
44,18,25,beta,2143.5337698373196
44,18,25,prob.0,0
44,18,25,prob.media.0,0
44,18,26,alpha,1.1712218166160238
44,18,26,beta,2025.5351641133666
44,18,26,prob.0,0
44,18,26,prob.media.0,0
44,18,27,alpha,1.1865775109699332
44,18,27,beta,2015.5595854920662
44,18,27,prob.0,0
44,18,27,prob.media.0,0
44,18,28,alpha,1.1695210781371894
44,18,28,beta,2138.3935234721066
44,18,28,prob.0,0
44,18,28,prob.media.0,0
44,18,29,alpha,1.227588731367013
44,18,29,beta,2070.4446377661698
44,18,29,prob.0,0
44,18,29,prob.media.0,0
44,18,30,alpha,1.254957470315846
44,18,30,beta,2117.7622530901654
44,18,30,prob.0,0
44,18,30,prob.media.0,0
44,18,31,alpha,1.0540213958200302
44,18,31,beta,3091.4105769087164
44,18,31,prob.0,0
44,18,31,prob.media.0,0
44,18,32,alpha,1.005161926412196
44,18,32,beta,3416.430382392058
44,18,32,prob.0,0
44,18,32,prob.media.0,0
44,18,33,alpha,1.0574148600900357
44,18,33,beta,3430.037790710804
44,18,33,prob.0,0
44,18,33,prob.media.0,0
44,18,34,alpha,1.134658245819935
44,18,34,beta,3332.2473973160922
44,18,34,prob.0,0
44,18,34,prob.media.0,0
44,18,35,alpha,1.2308816788769017
44,18,35,beta,3240.4828764859794
44,18,35,prob.0,0
44,18,35,prob.media.0,0
44,18,36,alpha,1.3038662460203618
44,18,36,beta,3092.7709941283274
44,18,36,prob.0,0
44,18,36,prob.media.0,0
44,18,37,alpha,1.4078899851652182
44,18,37,beta,3005.677478618545
44,18,37,prob.0,0
44,18,37,prob.media.0,0
44,18,38,alpha,1.499153860026479
44,18,38,beta,3084.082270436144
44,18,38,prob.0,0
44,18,38,prob.media.0,0
44,18,39,alpha,1.6280733097950963
44,18,39,beta,2900.767149329858
44,18,39,prob.0,0
44,18,39,prob.media.0,0
44,18,40,alpha,1.7703197364499097
