fecha_emision,lead,fecha_pronostico,QC_hist,ens_prom,perc_50,ens_1985,ens_1986,ens_1987,ens_1988,ens_1989,ens_1990,ens_1991,ens_1992,ens_1993,ens_1994,ens_1995,ens_1996,ens_1997,ens_1998,ens_1999,ens_2000,ens_2001,ens_2002,ens_2003,ens_2004,ens_2005,ens_2006,ens_2007,ens_2008,ens_2009,ens_2010,ens_2011,ens_2012,ens_2013,ens_2014,ens_2015,ens_2016,ens_2017,ens_2018,ens_2019,ens_2020,ens_2021,ens_2022,ens_2023,ens_2024,ens_2025
1985-05-15,2,1985-07-15,389.657,369.866,317.82550000000003,,222.372,362.268,373.635,68.86,90.244,790.472,318.358,171.289,577.027,295.55,60.215,165.438,956.709,1061.69,593.146,320.686,462.499,166.467,172.705,343.667,317.293,98.201,280.219,155.284,631.759,542.652,122.688,106.97,885.395,76.52,624.859,81.244,498.866,414.296,200.917,597.717,295.313,533.85,66.263,691.043
1985-05-15,3,1985-08-15,314.539,389.137,292.397,,420.383,425.535,273.19,307.265,34.087,287.469,250.739,104.778,366.348,124.499,22.63,113.574,345.339,317.557,384.05,465.242,341.943,754.327,85.686,259.798,236.884,90.902,305.039,215.105,477.878,804.53,1246.125,71.124,222.628,1578.258,297.325,1389.789,777.267,540.497,106.06,277.546,252.082,217.129,95.882,679.013
1985-05-15,4,1985-09-15,169.659,311.207,244.125,,366.008,226.958,340.424,126.304,12.666,148.392,152.762,49.79,161.62,48.712,45.345,70.719,329.287,130.366,649.771,754.13,705.756,454.963,40.385,491.633,118.483,232.181,139.219,190.856,327.376,273.403,581.174,256.069,540.702,425.17,173.681,1126.727,758.282,489.857,122.354,431.956,163.358,382.061,152.217,257.176
1985-05-15,5,1985-10-15,260.863,382.466,204.0005,,586.045,142.89,161.504,50.071,749.695,155.962,110.926,465.136,287.854,107.664,28.416,172.844,141.08,48.441,491.623,1697.192,859.573,195.961,33.996,329.051,444.721,1170.348,57.121,182.577,148.817,295.609,1949.089,212.04,794.356,316.74,128.076,547.988,273.323,885.802,65.854,167.611,139.865,221.619,176.431,304.748
1985-05-15,6,1985-11-15,116.519,284.177,181.7815,,1595.085,204.941,67.927,204.892,416.132,78.297,63.648,399.832,129.021,79.768,33.038,228.282,57.393,18.0,203.409,763.289,1172.5,303.525,38.465,148.417,294.326,256.655,26.089,951.795,57.265,145.208,328.237,404.558,927.092,160.154,85.958,219.862,157.643,297.231,25.268,64.515,74.584,320.968,218.84,144.978
1985-06-15,1,1985-07-15,389.657,478.65,376.84450000000004,,301.15,839.265,638.371,242.472,210.701,707.965,345.387,273.663,830.246,471.942,208.789,213.988,931.85,964.343,601.859,293.569,668.452,241.873,276.531,282.312,261.428,206.54,516.634,300.835,726.308,607.213,219.505,408.302,1077.277,209.307,702.119,308.421,776.711,309.437,205.718,578.795,527.693,666.909,205.594,786.518
1985-06-15,2,1985-08-15,314.539,440.829,332.7075,,469.631,568.663,365.193,428.614,82.503,261.519,262.772,150.714,437.253,187.75,80.764,140.834,341.414,291.257,388.304,451.191,409.252,791.583,128.115,231.221,216.355,146.725,394.47,279.98,509.496,828.449,1333.25,199.393,273.544,1789.251,324.001,1592.923,863.304,493.712,106.323,272.44,344.198,260.357,223.108,713.328
1985-06-15,3,1985-09-15,169.659,331.459,278.923,,384.445,282.16,380.194,166.538,31.682,138.081,157.789,68.296,188.434,72.219,88.099,83.453,327.628,120.433,651.342,748.736,733.522,467.056,56.401,478.023,110.642,275.927,172.211,218.55,339.04,281.919,601.032,335.248,563.122,456.378,183.78,1174.926,788.474,472.584,121.307,429.501,200.973,400.432,237.979,269.793
1985-06-15,4,1985-10-15,260.863,392.762,229.46800000000002,,593.65,165.799,176.259,65.986,790.35,151.704,113.116,478.24,300.648,121.597,48.75,182.214,140.468,44.75,492.217,1695.235,869.738,200.49,42.247,324.215,441.31,1197.434,69.688,193.927,153.148,298.861,1956.714,253.417,802.689,329.501,131.901,564.641,284.329,879.183,65.372,166.75,155.541,228.953,229.983,309.48
1985-06-15,5,1985-11-15,116.519,288.711,184.3725,,1598.167,215.466,73.578,215.126,426.286,76.645,64.545,404.425,133.541,86.932,40.878,234.17,57.164,16.628,203.631,762.595,1176.258,305.31,43.926,146.63,293.079,263.316,30.847,957.395,58.879,146.413,330.845,432.373,930.205,165.114,87.418,226.008,161.759,294.836,25.076,64.19,80.692,324.192,247.157,146.743
1985-06-15,6,1985-12-15,46.917,268.533,103.8145,,305.958,223.762,27.455,106.678,594.866,316.224,33.908,301.725,54.777,41.174,46.696,1226.982,54.242,6.179,93.003,273.015,887.352,137.075,25.241,54.484,483.181,100.951,12.753,1124.504,21.907,60.854,911.111,155.858,423.793,380.193,59.943,84.537,523.531,219.584,10.62,24.163,31.573,1115.742,122.815,62.892
1985-07-15,1,1985-08-15,314.539,443.716,306.423,,532.279,459.167,322.878,540.209,174.238,196.25,264.911,201.043,332.263,169.187,173.563,328.36,219.783,182.047,307.396,493.964,313.537,899.313,174.627,276.887,287.451,285.253,347.59,306.423,399.534,732.096,1508.667,190.769,169.576,1994.07,235.099,1681.077,733.482,541.996,242.656,215.482,295.981,194.008,381.821,
1985-07-15,2,1985-09-15,169.659,334.328,260.283,,407.435,243.351,367.475,200.592,69.017,105.804,156.042,88.594,150.079,64.469,150.566,170.042,260.283,74.018,610.927,764.621,682.292,497.858,75.839,500.544,142.189,364.447,155.72,225.682,298.032,257.097,640.454,327.122,470.364,496.873,141.245,1191.462,748.69,491.244,205.914,394.37,180.376,359.34,308.311,
1985-07-15,3,1985-10-15,260.863,398.275,245.331,,603.191,149.997,171.321,79.64,866.059,134.241,110.772,492.311,279.373,109.476,75.052,245.331,115.134,27.503,478.19,1701.185,851.886,211.852,54.806,332.042,465.937,1242.019,63.239,195.78,137.624,287.59,1972.303,251.194,768.024,345.211,110.988,570.124,270.611,886.639,100.348,155.344,145.832,212.493,262.064,
1985-07-15,4,1985-11-15,116.519,293.518,198.539,,1602.104,208.533,71.826,223.222,443.772,69.682,63.258,409.334,126.157,79.268,51.8,268.467,47.643,10.22,198.539,764.741,1169.786,310.009,53.675,149.51,301.643,275.708,28.374,957.002,53.014,142.196,336.096,431.655,917.439,171.081,77.574,228.019,156.53,297.479,38.181,59.841,76.78,315.75,261.311,
