fecha_emision,lead,fecha_pronostico,QC_hist,ens_prom,perc_50,ens_1985,ens_1986,ens_1987,ens_1988,ens_1989,ens_1990,ens_1991,ens_1992,ens_1993,ens_1994,ens_1995,ens_1996,ens_1997,ens_1998,ens_1999,ens_2000,ens_2001,ens_2002,ens_2003,ens_2004,ens_2005,ens_2006,ens_2007,ens_2008,ens_2009,ens_2010,ens_2011,ens_2012,ens_2013,ens_2014,ens_2015,ens_2016,ens_2017,ens_2018,ens_2019,ens_2020,ens_2021,ens_2022,ens_2023,ens_2024,ens_2025
1985-08-15,1,1985-09-15,321.464,313.724,208.008,,508.205,155.735,120.129,134.935,166.174,320.166,158.716,149.877,247.88,122.634,540.038,124.847,227.715,187.71,583.638,145.273,231.361,774.035,168.054,278.376,128.454,561.145,117.044,285.145,460.973,114.563,478.883,844.381,1052.72,120.205,208.008,747.088,357.238,282.821,205.76,539.762,114.217,140.945,130.393,
1985-08-15,2,1985-10-15,531.931,335.698,181.204,,536.698,124.655,112.467,59.751,299.668,404.542,136.953,828.604,321.393,61.827,230.226,102.161,104.947,89.359,457.312,1077.578,181.204,249.205,338.089,152.451,272.619,771.789,45.093,980.411,175.995,42.778,1321.65,220.806,1020.192,65.681,193.325,420.052,146.598,1022.847,149.748,180.17,42.44,95.512,55.433,
1985-08-15,3,1985-11-15,337.511,216.194,114.288,,802.148,66.796,59.627,22.202,483.01,290.856,67.478,1222.485,212.263,74.929,143.893,65.474,39.906,34.234,250.353,549.243,165.268,300.518,181.795,68.199,178.796,231.053,16.755,773.547,70.11,17.167,299.776,132.549,743.852,37.119,114.288,174.058,67.301,240.181,73.113,71.533,15.77,50.461,23.457,
1985-08-15,4,1985-12-15,142.567,138.565,82.162,,231.566,26.421,22.846,8.415,190.942,186.825,25.47,592.721,94.756,44.825,68.793,625.012,92.779,12.72,116.315,209.123,289.914,143.718,82.162,25.341,118.573,88.485,6.226,321.756,26.051,7.109,577.181,65.056,246.671,16.523,56.223,64.758,406.687,94.159,27.167,28.538,5.86,146.175,10.176,
1985-08-15,5,1986-01-15,52.975,77.73,54.892,,86.045,9.817,8.489,3.226,80.674,78.0,9.71,215.253,35.213,16.656,25.562,218.169,177.639,4.727,55.812,80.477,122.055,59.846,76.709,72.963,59.022,32.879,2.313,185.419,9.68,2.642,180.851,422.566,94.8,6.14,23.62,24.062,366.272,34.987,10.589,54.892,2.177,76.582,4.949,
1985-08-15,6,1986-02-15,19.684,69.681,28.456,,31.972,3.648,3.154,95.318,29.976,28.983,167.763,79.983,13.084,6.189,9.498,93.053,102.738,1.756,28.487,29.903,103.241,22.237,43.155,45.859,21.931,12.217,25.25,556.279,3.597,3.662,67.2,770.909,35.506,2.281,8.976,8.941,165.294,13.0,4.219,32.833,0.809,28.456,16.18,
1985-09-15,1,1985-10-15,531.931,390.061,244.686,,549.893,244.686,315.046,139.576,448.145,452.951,250.471,1006.188,408.989,215.13,184.58,267.204,138.743,142.868,366.682,1235.668,213.04,161.502,473.899,163.833,502.872,677.598,141.269,951.863,145.032,182.057,1306.948,140.908,875.356,219.728,266.624,303.223,139.448,1112.808,209.61,137.811,138.709,210.716,170.721,
1985-09-15,2,1985-11-15,337.511,240.829,141.104,,810.52,119.643,141.104,54.201,554.505,309.918,117.203,1272.561,246.25,201.284,123.708,146.292,56.619,55.747,216.928,586.096,181.088,241.264,228.756,72.444,250.086,207.493,54.391,768.618,57.889,109.335,289.274,94.357,697.264,116.011,147.718,135.024,65.892,252.588,98.877,51.965,52.067,107.171,100.16,
1985-09-15,3,1985-12-15,142.567,151.662,98.132,,230.927,47.093,55.37,23.267,214.426,194.777,45.114,607.789,107.954,98.132,60.625,716.419,118.618,20.714,102.586,221.919,299.269,122.021,101.189,26.918,154.237,79.159,20.211,320.824,21.51,49.652,574.29,49.279,231.103,48.597,71.694,50.172,408.751,99.421,36.74,19.749,19.347,200.183,44.758,
1985-09-15,4,1986-01-15,52.975,82.624,50.315,,85.807,17.499,20.574,9.972,89.708,81.009,17.009,220.586,40.127,36.464,22.527,241.569,197.015,7.697,50.315,85.295,125.112,51.133,83.984,73.549,74.027,29.414,7.51,184.964,7.993,18.45,179.675,416.704,88.924,18.057,29.96,18.643,366.949,36.943,14.146,51.627,7.189,96.406,17.799,
