lead,mes,crpss,crpss_med,p5,p25,p75,p95,n
3,11,0.023677923703914527,0.024475904801827097,-0.009465264517485894,0.010874782125566473,0.03639304171941851,0.0581245888821478,40
3,12,0.019384809886516474,0.01698669722211882,-0.00467037258651034,0.008153563447580309,0.027270018401148816,0.04777639848124945,40
4,1,0.014802283428291152,0.01482782174550501,0.004417415858843488,0.010851310369643957,0.019925794476375297,0.028361791360379775,40
4,2,-0.002074438975220305,-0.002605958344266024,-0.013360909906173257,-0.006640095588548167,0.0008118511595070488,0.005879712655005749,40
4,3,0.0025668764926978227,0.0027664418492612253,-0.001158308097681937,0.001271595199663328,0.004191210087675062,0.00656634502547675,40
4,4,0.0008263616448460631,0.000829249386696207,-0.0022136013123154274,-0.0002525269138148878,0.002147869521257839,0.004121959312029673,40
4,5,-0.0013936727722037023,-0.001388945804918884,-0.004588677954452303,-0.0026730470636078807,0.000453606965652803,0.003159391613207897,41
4,6,0.003670105775575694,0.003647884894020237,-0.004967869441752337,-0.00018446105100783372,0.006822563865378439,0.01273663071623734,41
4,7,0.0006827320148323768,0.000941290598090172,-0.02218985748785741,-0.008506498397317097,0.010156409559819612,0.023786706434906206,41
4,8,-0.006355656209692029,-0.006343881325469258,-0.028140331990150334,-0.014398395460605284,0.002293187412617831,0.014149754824426975,41
4,9,0.05093738023224226,0.05140567643507021,0.020624122837443394,0.03803028006340822,0.06508155299852669,0.08288888551505083,41
4,10,0.029054074515052153,0.028936234274396178,0.014331443959442441,0.02145150027724424,0.03715004266257668,0.05348888771056341,41
4,11,0.014977423861443295,0.014177418275490905,0.0006840085797574672,0.008076654814299034,0.02132684131616075,0.033314066620531275,40
4,12,0.009748180655370642,0.00959071579797599,-0.002238456726256732,0.00451576110418811,0.015423902357978025,0.024429684339306156,40
5,1,0.004416162367577248,0.0041796661041685335,-0.001742131190904783,0.001972736979475892,0.006689043960228069,0.010151406254350185,40
5,2,0.0008540191879011783,0.0010444608794960009,-0.0033941172976008406,-0.0005573007420676124,0.002569483577933157,0.005266160303569978,40
5,3,0.0007623276415400504,0.0008276361297294144,-0.001643233300101521,-4.5386419684434465e-05,0.001726975552831217,0.003163953770517802,40
5,4,0.0004512959811949768,0.0004268660535266533,-0.0014387000609945243,-0.0002464289250000973,0.0012235519240451631,0.0023666679878656506,40
5,5,0.0008561683656511665,0.0008955661511301227,-0.000556379443371735,0.00030426718119508367,0.0016490830945798673,0.0024577391853200852,40
5,6,0.002155533239633023,0.0020367413916317356,0.0002982450371722012,0.0013918720606403978,0.002889362795807121,0.0042526146442169125,41
5,7,0.006168139249666971,0.006268202248252752,-0.0011944238847243604,0.0027048109470802495,0.010179346577353282,0.015518691217781584,41
5,8,-0.0036470934673040745,-0.0035497866971199166,-0.011283294391196153,-0.006553069292977665,-0.0005120816361912639,0.004798527916545148,41
5,9,0.012322010852743759,0.013152963559137754,-0.003270244583374559,0.00664945895683991,0.018421187469024686,0.026642290519855828,41
5,10,0.013276614721485114,0.013682690957405486,0.0023271728526973122,0.008943984591748777,0.019293073352455725,0.02837360316009783,41
5,11,0.01896284048526875,0.01890476961730847,0.006571630302351678,0.012937114560063884,0.026470240825299196,0.036160625525624004,41
5,12,0.0030149865680951793,0.002922273694183186,-0.003782327959537324,1.0416955792263982e-05,0.0070176140040973944,0.014230784377220383,40
6,1,0.004913599758742282,0.0047317689715389855,0.0015361220320519286,0.003172044573568622,0.006483512698506222,0.010009186438243051,40
6,2,0.0006540016395277792,0.0006738574985489798,-0.0010941491712887718,-4.5762188457088016e-05,0.001614393224552646,0.003261757741703375,40
6,3,9.896025736211289e-05,0.00011556094660514216,-0.0006791917632487765,-0.00016560613741473107,0.000464889570052307,0.001080050701824048,40
6,4,1.4580759571614088e-05,-4.641225039681007e-05,-0.0010989485835569356,-0.00046710369411800956,0.000411728610327039,0.0009981995553589753,40
6,5,7.894132352059824e-05,0.00011997980860656288,-0.0006620255072771086,-0.00020700381195914996,0.0003905637216970459,0.0008620584003143588,40
6,6,0.00028359588584125905,0.00032451856770837617,-0.00034344368305084806,3.275344619266263e-05,0.0005945450799633989,0.0009629435532788888,40
6,7,0.00159841820582729,0.001619933299272569,-1.1293111822152636e-05,0.0008801426846393734,0.0022779848572734573,0.003467393988632706,41
6,8,0.0010339716963903012,0.000949347883202889,-0.001195789648462342,4.408574241812624e-05,0.0018823192609688233,0.003440590974226683,41
6,9,0.00036617740058597636,0.00021984433802763048,-0.0062047719861011204,-0.002394895621177784,0.002484626017470515,0.006098221797579485,41
6,10,0.0040849625575329895,0.004119209902256615,-0.0017223498233817302,0.0016135121173790068,0.006475475874081621,0.010695984326399493,41
6,11,0.00922271772407135,0.009330335170044834,0.0010898769417154897,0.005156317807974098,0.013218232780504047,0.021887780754354054,41
6,12,0.003637973206654377,0.003496900628593258,-0.0014267642078179764,0.0015777616091634528,0.005710472569706387,0.009731272723537444,41
