,1,2,3,4,5,6
Brier_Q75_Q90,0.1289620410258409,0.1407164613786317,0.1433733080071358,0.1445275090298579,0.1447631661212293,0.1450961572476747
Brier_Q90,0.0848931975190722,0.0923091023422401,0.0947351253711753,0.0945070018850257,0.0949599783990926,0.0949277033802676
24,0.2879354335883025,0.1400841679006155,0.076059471596995,0.0480053245526735,0.0270062311233266,0.015011030411744
Brier_Q10_Q25,0.0554275528525543,0.094232824860103,0.1149207726078547,0.1322106131784305,0.142798346288824,0.1466787702499482
Brier_Q25_Q75,0.1521370170388707,0.2093354544384738,0.230215994634427,0.2456643686824385,0.2540219633289943,0.2609747553834413
Brier_Q75_Q90,0.1092966240640749,0.131172260738546,0.1404681700667159,0.1438434526220339,0.1444794087473567,0.1451080947812005
Brier_Q90,0.0757093609466857,0.0908886549753199,0.0957037441332094,0.0949032038217434,0.0945450344986416,0.0945813596875954
26,0.222955120411652,0.0781758477374419,0.0222852938687205,0.0101980692155696,0.0069728718255475,0.0037960868143939
Brier_Q10_Q25,0.0700617885580167,0.1066897981195948,0.1234752156300469,0.1357995837204819,0.1417162686165239,0.1473732877923829
Brier_Q25_Q75,0.1688630862007599,0.2160882684403668,0.2294448162515061,0.2480392664354964,0.2551310457452638,0.2631384667254338
Brier_Q75_Q90,0.1063618318031487,0.1343872475231513,0.1446069169108681,0.1459615544278611,0.1466087225214727,0.1459878841434756
Brier_Q90,0.0868435277054017,0.0922539846526708,0.0951760957659478,0.0958020131006037,0.0949889540814668,0.0949863442124801
27,0.2037523429438466,0.0643563531439486,0.0192382421719344,0.0102746721845794,0.0066839435680953,0.0034903532473699
Brier_Q10_Q25,0.0938350201822648,0.1248747010201952,0.1371446878156298,0.1445853990283923,0.1462232705015496,0.1463963918110036
Brier_Q25_Q75,0.1880457134977515,0.2309926201712911,0.2372135443175968,0.2537992906065653,0.2625760237147929,0.2637909664601152
Brier_Q75_Q90,0.1220550787039744,0.1400501145382336,0.1458354901752691,0.1469475001209275,0.1456580407428344,0.1457733514688544
Brier_Q90,0.0872569338407236,0.0939864792181511,0.0943937703907295,0.0951410592674895,0.0950140925705729,0.0950703870475414
28,0.1641784129062953,0.0407478028100791,0.0092194579643868,0.0051581555825183,0.0032811012500411,0.0012503106944913
Brier_Q10_Q25,0.0985720226376353,0.1260283714056544,0.1421135931939814,0.1454226399456512,0.1460307177608984,0.1465549548886131
Brier_Q25_Q75,0.1997708405077657,0.2369421179429756,0.2587566374780074,0.264849403700888,0.2665517746748132,0.2651145201847917
Brier_Q75_Q90,0.1279689588030556,0.1420451698652903,0.1462625123905606,0.1461693368189343,0.145782455327201,0.1464562455283883
Brier_Q90,0.0895697073264762,0.0951767022085339,0.0961281745284006,0.0948039277264828,0.0944633921654837,0.095148311310082
29,0.165422237741062,0.0460133968267765,0.0094137524056092,0.0048435910200302,0.003250960806596,0.0014234683603457
Brier_Q10_Q25,0.095043259571144,0.1229218981364164,0.144091433493102,0.1484954953589093,0.1468421595998056,0.1447843771726347
Brier_Q25_Q75,0.1978291882260615,0.2476530094352359,0.2547509181468558,0.2629453400301921,0.2698075952602179,0.2653209128116049
Brier_Q75_Q90,0.1251134011538292,0.1452329930757251,0.1462154553336986,0.1452513451835102,0.1457588040663419,0.1462419294404051
Brier_Q90,0.0828531788059867,0.0948559626662392,0.095978780285129,0.0948854184489942,0.0945095178998027,0.0953569780965933
30,0.1402170578055888,0.0359194899981556,0.0049891301322619,0.0035536052854019,0.0021823890960666,0.0009189161889013
Brier_Q10_Q25,0.0991659898334232,0.1265374799567115,0.1423303097838682,0.1452389636473767,0.145052175721071,0.1445983978364438
Brier_Q25_Q75,0.2095849586355619,0.2558302343395227,0.2552968861339068,0.2639819489476416,0.2667797754285347,0.2662267250584242
Brier_Q75_Q90,0.1326771263573665,0.1455064698038519,0.1469057061193666,0.1464061165510455,0.1461082449479361,0.1464336663713868
Brier_Q90,0.0865192614106865,0.0970546599698078,0.0971755586310858,0.0949070987714484,0.0943511172621716,0.0954910921525607
31,0.1319532196742042,0.0297076445875172,-0.0002156450393178,-0.0006679692395556,0.0013414234194629,0.0004273362581024
Brier_Q10_Q25,0.1082102002199076,0.1297051064631618,0.1444629662117625,0.1449477376442737,0.1435085158256246,0.1451347277181081
Brier_Q25_Q75,0.2158084060161992,0.2568358063917604,0.2541287008339308,0.2639118723409478,0.2644732721259494,0.2644808851462717
Brier_Q75_Q90,0.1356690577831491,0.1457282761797293,0.1476025627974907,0.1450924824943849,0.1453431743082042,0.1454553336986428
Brier_Q90,0.0853811744338244,0.0954098180166872,0.0972927969781832,0.0949769263035086,0.0954021508497054,0.0955417914747167
32,0.1548732901370898,0.0347084178324177,-0.0050591316500006,-0.0042696325501649,0.0005436675161706,-0.0006368424863383
Brier_Q10_Q25,0.090494748856964,0.115927705546134,0.1338061925007598,0.1424783503606528,0.1442318538300098,0.1440359945333532
Brier_Q25_Q75,0.1872591863417578,0.2448209081188945,0.2453411600524717,0.257785643482511,0.2683936599315442,0.2645859585438735
Brier_Q75_Q90,0.1283617025731214,0.1448511183451048,0.1457796721889039,0.1460818827443259,0.1457013400215286,0.1455914728396746
