Fecha,Precip,PET,QM,mes_dia
1999-05-09,0.0,1.4,2.533,05-09
1999-05-10,0.0,1.1,1.982,05-10
1999-05-11,0.0,1.2,1.702,05-11
1999-05-12,0.0,1.3,1.535,05-12
1999-05-13,0.0,1.0,1.381,05-13
1999-05-14,0.0,1.0,1.456,05-14
1999-05-15,0.0,1.1,1.31,05-15
1999-05-16,0.0,1.3,1.176,05-16
1999-05-17,0.0,0.8,1.241,05-17
1999-05-18,0.0,1.1,1.113,05-18
1999-05-19,0.0,1.4,0.996,05-19
1999-05-20,0.0,1.1,0.89,05-20
1999-05-21,0.0,0.8,0.841,05-21
1999-05-22,0.0,0.8,0.841,05-22
1999-05-23,0.0,0.8,0.749,05-23
1999-05-24,0.0,0.8,0.665,05-24
1999-05-25,0.0,0.9,0.665,05-25
1999-05-26,0.0,0.5,0.59,05-26
1999-05-27,0.0,0.9,0.555,05-27
1999-05-28,37.30998178,0.7,0.626,05-28
1999-05-29,0.169725223,1.5,1.885,05-29
1999-05-30,0.0,0.7,3.853,05-30
1999-05-31,0.0,0.7,7.248,05-31
1999-06-01,0.0,0.7,10.432,06-01
1999-06-02,0.0,0.7,22.423,06-02
1999-06-03,0.0,1.5,19.008,06-03
1999-06-04,0.0,0.8,13.495,06-04
1999-06-05,0.0,1.1,9.739,06-05
1999-06-06,0.0,0.5,7.83,06-06
1999-06-07,0.0,0.6,6.373,06-07
1999-06-08,25.48112676,0.8,5.02,06-08
1999-06-09,11.75483002,0.9,6.207,06-09
1999-06-10,0.0,1.5,11.905,06-10
1999-06-11,0.0,1.0,12.058,06-11
1999-06-12,0.0,0.6,14.336,06-12
1999-06-13,0.0,0.6,18.01,06-13
1999-06-14,0.0,0.7,17.427,06-14
1999-06-15,0.0,0.6,16.11,06-15
1999-06-16,0.0,0.7,13.495,06-16
1999-06-17,5.870108813,0.7,10.432,06-17
1999-06-18,3.367359301,0.7,8.439,06-18
1999-06-19,0.0,0.6,8.564,06-19
1999-06-20,0.0,0.8,8.315,06-20
1999-06-21,0.0,0.8,8.439,06-21
1999-06-22,0.0,0.6,9.075,06-22
1999-06-23,0.0,0.4,8.564,06-23
1999-06-24,0.147629985,0.7,8.439,06-24
1999-06-25,0.0,0.9,8.564,06-25
1999-06-26,40.8041808,0.9,14.336,06-26
1999-06-27,9.432740757,0.6,15.208,06-27
1999-06-28,73.73326745,0.5,20.039,06-28
1999-06-29,3.421906633,0.6,704.243,06-29
1999-06-30,0.0,0.6,934.477,06-30
1999-07-01,0.0,0.9,679.198,07-01
1999-07-02,2.586334074,0.5,613.067,07-02
1999-07-03,0.0,1.0,406.595,07-03
1999-07-04,0.0,0.7,220.99,07-04
1999-07-05,0.0,0.5,111.62,07-05
1999-07-06,0.0,0.5,63.446,07-06
1999-07-07,0.0,0.5,42.866,07-07
1999-07-08,0.0,0.5,38.384,07-08
1999-07-09,0.0,0.7,35.658,07-09
1999-07-10,0.0,1.4,34.777,07-10
1999-07-11,0.0,1.6,18.01,07-11
1999-07-12,0.0,0.6,18.406,07-12
1999-07-13,0.0,0.9,16.11,07-13
1999-07-14,7.531833791,0.8,15.208,07-14
1999-07-15,0.0,1.1,14.336,07-15
1999-07-16,0.0,1.0,13.828,07-16
1999-07-17,0.0,0.7,13.495,07-17
1999-07-18,0.0,0.8,12.685,07-18
1999-07-19,3.602695016,1.0,12.213,07-19
1999-07-20,16.74492835,0.6,12.526,07-20
1999-07-21,0.0,1.1,29.497,07-21
1999-07-22,0.0,0.9,39.634,07-22
1999-07-23,0.0,0.8,40.587,07-23
1999-07-24,0.0,1.3,39.634,07-24
1999-07-25,0.0,1.4,31.656,07-25
1999-07-26,3.132254088,1.3,23.791,07-26
1999-07-27,0.0,0.9,20.249,07-27
1999-07-28,0.0,1.5,18.01,07-28
1999-07-29,7.092729662,0.9,16.617,07-29
1999-07-30,0.0,1.2,15.126,07-30
1999-07-31,0.0,1.0,15.739,07-31
1999-08-01,0.0,1.0,16.016,08-01
1999-08-02,0.0,1.0,14.595,08-02
1999-08-03,0.0,1.2,13.342,08-03
1999-08-04,0.0,1.2,12.09,08-04
1999-08-05,0.0,1.7,11.103,08-05
1999-08-06,28.86401744,1.1,10.45,08-06
1999-08-07,0.0,1.8,34.059,08-07
1999-08-08,0.0,1.4,63.107,08-08
1999-08-09,0.0,2.1,71.917,08-09
1999-08-10,0.0,2.1,91.882,08-10
1999-08-11,0.0,1.5,90.091,08-11
1999-08-12,0.0,1.2,67.157,08-12
1999-08-13,0.0,1.9,42.741,08-13
1999-08-14,0.0,1.3,27.545,08-14
1999-08-15,0.0,1.1,19.92,08-15
1999-08-16,0.0,1.1,16.172,08-16
1999-08-17,0.0,1.4,13.736,08-17
1999-08-18,0.0,1.6,13.005,08-18
1999-08-19,0.0,2.0,13.005,08-19
1999-08-20,0.0,2.7,11.366,08-20
1999-08-21,0.0,3.2,9.802,08-21
1999-08-22,1.548130009,1.6,9.253,08-22
1999-08-23,0.346093563,1.6,8.723,08-23
1999-08-24,0.0,1.0,8.254,08-24
1999-08-25,2.970855063,2.1,7.853,08-25
1999-08-26,0.0,2.3,7.517,08-26
1999-08-27,0.0,1.7,7.263,08-27
1999-08-28,0.0,1.6,7.135,08-28
1999-08-29,0.0,1.3,7.04,08-29
1999-08-30,2.825600896,1.0,6.808,08-30
1999-08-31,15.13336991,1.1,11.941,08-31
1999-09-01,3.214864259,1.7,22.773,09-01
1999-09-02,0.0,1.8,20.942,09-02
1999-09-03,3.908402623,0.9,19.143,09-03
1999-09-04,8.620554159,2.2,14.484,09-04
1999-09-05,15.17653661,0.9,14.252,09-05
1999-09-06,18.03485335,2.5,26.739,09-06
1999-09-07,37.26535787,1.1,84.567,09-07
1999-09-08,0.0,2.5,231.023,09-08
1999-09-09,0.0,2.4,296.342,09-09
1999-09-10,0.0,2.2,312.901,09-10
1999-09-11,0.0,2.0,341.615,09-11
1999-09-12,0.0,2.0,227.69,09-12
1999-09-13,23.62309734,2.7,116.108,09-13
1999-09-14,3.38292725,1.5,63.573,09-14
1999-09-15,0.0,3.4,61.008,09-15
1999-09-16,0.0,2.7,72.424,09-16
1999-09-17,0.0,2.8,75.118,09-17
1999-09-18,0.0,3.7,65.598,09-18
1999-09-19,0.0,2.7,49.852,09-19
1999-09-20,0.0,2.5,37.621,09-20
1999-09-21,0.0,2.8,36.254,09-21
1999-09-22,0.0,3.3,36.329,09-22
1999-09-23,0.0,3.9,36.432,09-23
1999-09-24,0.0,3.6,36.394,09-24
1999-09-25,0.0,2.2,36.341,09-25
1999-09-26,0.0,2.2,36.338,09-26
1999-09-27,0.0,2.9,36.258,09-27
1999-09-28,0.0,2.1,36.16,09-28
1999-09-29,0.0,2.7,36.251,09-29
1999-09-30,0.0,3.1,36.223,09-30
1999-10-01,4.647918438,2.2,35.958,10-01
1999-10-02,0.0,3.2,36.245,10-02
1999-10-03,0.0,2.6,36.21,10-03
1999-10-04,0.0,1.5,36.058,10-04
1999-10-05,0.0,2.6,36.16,10-05
1999-10-06,0.723244571,1.3,21.951,10-06
1999-10-07,19.05759168,1.3,4.556,10-07
1999-10-08,1.016162433,2.5,5.707,10-08
1999-10-09,0.0,3.4,7.85,10-09
1999-10-10,0.0,3.8,10.741,10-10
1999-10-11,0.0,4.5,9.826,10-11
1999-10-12,25.83180627,2.4,7.963,10-12
1999-10-13,14.76111678,1.2,7.445,10-13
1999-10-14,0.0,3.6,9.579,10-14
1999-10-15,0.0,2.1,15.449,10-15
1999-10-16,0.0,3.8,19.525,10-16
1999-10-17,0.0,4.2,23.934,10-17
1999-10-18,0.0,4.1,26.261,10-18
1999-10-19,0.0,4.8,21.074,10-19
1999-10-20,0.0,5.1,15.233,10-20
1999-10-21,0.601507529,5.0,11.37,10-21
1999-10-22,0.0,5.1,9.052,10-22
