N_Oficial,Nombre_est,latitude,longitude,geometry,N_DinaguaW,N_UTEWSH,N_UTEWSP,Institucio,Tipo_estac,Parametros,Resolucion,wflow_basi,wflow_outp,WHOS_siteC
INUMET-122,J.B.YORDOÑEZ,-33.47,-55.14,POINT (-55.14 -33.47),INUMET-122,,,INUMET,Convencional,P,Diaria,,,
INUMET-123,JAVIER DE VIANA,-30.431,-56.781,POINT (-56.781 -30.431),INUMET-123,,,INUMET,Convencional,P,Diaria,,,
INUMET-125,JOSE P.VARELA,-33.4562,-54.5356,POINT (-54.5356 -33.4562),INUMET-125,,,INUMET,Convencional,P,Diaria,,,
INUMET-127,JUAN LACAZE,-34.4355,-57.4388,POINT (-57.4388 -34.4355),INUMET-127,,,INUMET,Convencional,P,Diaria,,,
INUMET-128,JUAN SOLER,-34.32158,-56.80089,POINT (-56.80089 -34.32158),INUMET-128,,,INUMET,Convencional,P,Diaria,,,
INUMET-129,LA AVIACIÓN,-33.48,-56.89,POINT (-56.89 -33.48),INUMET-129,,,INUMET,Convencional,P,Diaria,,,
INUMET-133,LA HILERA,-32.08,-55.66,POINT (-55.66 -32.08),INUMET-133,,,INUMET,Convencional,P,Diaria,,,
INUMET-342,La Paloma_Ro,-34.6577,-54.1596,POINT (-54.1596 -34.6577),INUMET-342,,,INUMET,Convencional,P,Diaria,,,
INUMET-135,LA PEDRERA,-33.53,-56.88,POINT (-56.88 -33.53),INUMET-135,,,INUMET,Convencional,P,Diaria,,,
INUMET-138,LAGUNASAUCE,-34.8597491,-55.09657011,POINT (-55.09657011 -34.8597491),INUMET-138,,,INUMET,Convencional,P,Diaria,,,
INUMET-147,LOS TAPES (FELICIANO),-33.18583,-56.80894,POINT (-56.80894 -33.18583),INUMET-147,,,INUMET,Convencional,P,Diaria,,,
INUMET-153,MARIA ALBINA,-33.3896,-54.6746,POINT (-54.6746 -33.3896),INUMET-153,,,INUMET,Convencional,P,Diaria,,,
INUMET-154,MARINCHO,-33.3845,-57.16397,POINT (-57.16397 -33.3845),INUMET-154,,,INUMET,Convencional,P,Diaria,,,
INUMET-155,MARISCALA,-34.0441,-54.7806,POINT (-54.7806 -34.0441),INUMET-155,,,INUMET,Convencional,P,Diaria,,,
INUMET-156,MARMARAJA,-34.26,-54.955,POINT (-54.955 -34.26),INUMET-156,,,INUMET,Convencional,P,Diaria,,,
INUMET-159,MELILLA,-34.78911444,-56.26313361,POINT (-56.26313361 -34.78911444),INUMET-159,,,INUMET,Convencional,P,Diaria,,,
INUMET-160,MELO,-32.35166667,-54.19333333,POINT (-54.19333333 -32.35166667),INUMET-160,,,INUMET,Convencional,P,Diaria,,,
INUMET-161,MENDOZA,-34.28,-56.21,POINT (-56.21 -34.28),INUMET-161,,,INUMET,Convencional,P,Diaria,,,
INUMET-162,MERCEDES,-33.25051367,-58.06907631,POINT (-58.06907631 -33.25051367),INUMET-162,,,INUMET,Convencional,P,Diaria,,,
INUMET-165,MINAS DE CORRALES,-31.573,-55.474,POINT (-55.474 -31.573),INUMET-165,,,INUMET,Convencional,P,Diaria,,,
INUMET-167,MOIRONES,-31.602,-54.977,POINT (-54.977 -31.602),INUMET-167,,,INUMET,Convencional,P,Diaria,,,
INUMET-169,NICO PEREZ,-33.48075,-55.15342,POINT (-55.15342 -33.48075),INUMET-169,,,INUMET,Convencional,P,Diaria,,,
INUMET-170,NUEVA HELVECIA,-34.284,-57.234,POINT (-57.234 -34.284),INUMET-170,,,INUMET,Convencional,P,Diaria,,,
INUMET-171,NUEVA PALMIRA,-33.873,-58.406,POINT (-58.406 -33.873),INUMET-171,,,INUMET,Convencional,P,Diaria,,,
INUMET-172,NUEVO BERLIN,-32.982,-58.059,POINT (-58.059 -32.982),INUMET-172,,,INUMET,Convencional,P,Diaria,,,
INUMET-179,PALMITAS,-33.5079,-57.7995,POINT (-57.7995 -33.5079),INUMET-179,,,INUMET,Convencional,P,Diaria,,,
INUMET-180,PALOMAS,-31.08,-57.61,POINT (-57.61 -31.08),INUMET-180,,,INUMET,Convencional,P,Diaria,,,
INUMET-186,PASO CAMPAMENTO,-30.78,-56.78,POINT (-56.78 -30.78),INUMET-186,,,INUMET,Convencional,P,Diaria,,,
INUMET-187,PASO DE LA CRUZ_AR,-30.29,-57.31,POINT (-57.31 -30.29),INUMET-187,,,INUMET,Convencional,P,Diaria,,,
INUMET-188,PASO DE LA CRUZ_RN,-32.559,-57.39,POINT (-57.39 -32.559),INUMET-188,,,INUMET,Convencional,P,Diaria,,,
INUMET-194,PASO FARIAS,-30.48,-57.13,POINT (-57.13 -30.48),INUMET-194,,,INUMET,Convencional,P,Diaria,,,
INUMET-201,PAYSANDU,-32.379524,-58.027395,POINT (-58.027395 -32.379524),INUMET-201,,,INUMET,Convencional,P,Diaria,,,
INUMET-73,COLONIA PINTADO,-30.46,-56.42,POINT (-56.42 -30.46),INUMET-73,,,INUMET,Convencional,P,Diaria,,,
INUMET-206,PIRARAJA,-33.7424,-54.752,POINT (-54.752 -33.7424),INUMET-206,,,INUMET,Convencional,P,Diaria,,,
INUMET-207,PLACIDO ROSAS,-32.7548,-53.7172,POINT (-53.7172 -32.7548),INUMET-207,,,INUMET,Convencional,P,Diaria,,,
INUMET-209,POLANCO DEL YI,-33.48,-56.156,POINT (-56.156 -33.48),INUMET-209,,,INUMET,Convencional,P,Diaria,,,
INUMET-211,PRADO,-34.86067611,-56.20786139,POINT (-56.20786139 -34.86067611),INUMET-211,,,INUMET,Convencional,P,Diaria,,,
INUMET-212,PUEBLO ANSINA,-31.87,-55.46,POINT (-55.46 -31.87),INUMET-212,,,INUMET,Convencional,P,Diaria,,,
INUMET-279,VALENTIN (P.BAZZINI),-31.28,-57.13,POINT (-57.13 -31.28),INUMET-279,,,INUMET,Convencional,P,Diaria,,,
INUMET-213,PUEBLO CENTENARIO,-32.826,-56.498,POINT (-56.498 -32.826),INUMET-213,,,INUMET,Convencional,P,Diaria,,,
INUMET-140,LAS FLORES (GRECCO),-32.819,-57.041,POINT (-57.041 -32.819),INUMET-140,,,INUMET,Convencional,P,Diaria,,,
INUMET-215,PUEBLO JOSE E. RODO,-33.6964,-57.5323,POINT (-57.5323 -33.6964),INUMET-215,,,INUMET,Convencional,P,Diaria,,,
INUMET-219,PUNTADELESTE,-34.96893998,-54.95122309,POINT (-54.95122309 -34.96893998),INUMET-219,,,INUMET,Convencional,P,Diaria,,,
INUMET-224,QUINTANA,-31.35,-56.393,POINT (-56.393 -31.35),INUMET-224,,,INUMET,Convencional,P,Diaria,,,
INUMET-227,REBOLEDO,-33.999,-55.65,POINT (-55.65 -33.999),INUMET-227,,,INUMET,Convencional,P,Diaria,,,
INUMET-228,RIACHUELO,-34.4271,-57.7184,POINT (-57.7184 -34.4271),INUMET-228,,,INUMET,Convencional,P,Diaria,,,
INUMET-230,RINCON DE UTURBEY,-33.277,-54.84,POINT (-54.84 -33.277),INUMET-230,,,INUMET,Convencional,P,Diaria,,,
INUMET-232,RINCONDEPEREIRA,-32.39,-55.29,POINT (-55.29 -32.39),INUMET-232,,,INUMET,Convencional,P,Diaria,,,
INUMET-231,RINCON DEL PINO (R.P,-34.52079,-56.80048,POINT (-56.80048 -34.52079),INUMET-231,,,INUMET,Convencional,P,Diaria,,,
