N_Oficial,Nombre_est,latitude,longitude,geometry,N_DinaguaW,N_UTEWSH,N_UTEWSP,Institucio,Tipo_estac,Parametros,Resolucion,wflow_basi,wflow_outp,WHOS_siteC
INUMET-235,RIVERA,-30.89647333,-55.54266278,POINT (-55.54266278 -30.89647333),INUMET-235,,,INUMET,Convencional,P,Diaria,,,
INUMET-236,ROCHA,-34.49356987,-54.31259471,POINT (-54.31259471 -34.49356987),INUMET-236,,,INUMET,Convencional,P,Diaria,,,
INUMET-238,ROSSELL Y RIUS,-33.18461,-55.69711,POINT (-55.69711 -33.18461),INUMET-238,,,INUMET,Convencional,P,Diaria,,,
INUMET-239,SALTO,-31.43839722,-57.98300333,POINT (-57.98300333 -31.43839722),INUMET-239,,,INUMET,Convencional,P,Diaria,,,
INUMET-240,SAN ANTONIO,-34.45,-56.079,POINT (-56.079 -34.45),INUMET-240,,,INUMET,Convencional,P,Diaria,,,
INUMET-612,San Bautista,-34.44,-55.95,POINT (-55.95 -34.44),INUMET-612,,,INUMET,Convencional,P,Diaria,,,
INUMET-243,SAN GABRIEL,-34.037,-55.883,POINT (-55.883 -34.037),INUMET-243,,,INUMET,Convencional,P,Diaria,,,
INUMET-244,SAN GREGORIO,-32.614,-55.833,POINT (-55.833 -32.614),INUMET-244,,,INUMET,Convencional,P,Diaria,,,
INUMET-246,SAN JAVIER,-32.667,-58.136,POINT (-58.136 -32.667),INUMET-246,,,INUMET,Convencional,P,Diaria,,,
INUMET-247,SAN JORGE,-32.8432,-55.8968,POINT (-55.8968 -32.8432),INUMET-247,,,INUMET,Convencional,P,Diaria,,,
INUMET-252,SANJOSE,-34.35194583,-56.74962639,POINT (-56.74962639 -34.35194583),INUMET-252,,,INUMET,Convencional,P,Diaria,,,
INUMET-248,SAN LUIS,-33.6055,-53.719,POINT (-53.719 -33.6055),INUMET-248,,,INUMET,Convencional,P,Diaria,,,
INUMET-251,SANCHEZ GRANDE,-32.83,-57.73,POINT (-57.73 -32.83),INUMET-251,,,INUMET,Convencional,P,Diaria,,,
INUMET-250,SAN MARTIN (S.CATALI,-33.791,-57.492,POINT (-57.492 -33.791),INUMET-250,,,INUMET,Convencional,P,Diaria,,,
INUMET-460,Santa Lucía,-34.45,-56.38,POINT (-56.38 -34.45),INUMET-460,,,INUMET,Convencional,P,Diaria,,,
INUMET-253,SANTAROSA,-34.4994,-56.0393,POINT (-56.0393 -34.4994),INUMET-253,,,INUMET,Convencional,P,Diaria,,,
INUMET-257,SARANDI DEL YI,-33.33322,-55.62133,POINT (-55.62133 -33.33322),INUMET-257,,,INUMET,Convencional,P,Diaria,,,
