C3,NOMBRE
437,Río Olimar Grande entre Ao. Yerbal Grande y Ao. De Los Ceibos
438,Río Olimar Grande entre Ao. De Los Ceibos y Río Cebollatí
440,Ao. De Godoy
441,Río Cebollatí entre nacientes y Ao. De Los Molles
442,Río Cebollatí entre Ao. De Los Molles y Ao. Barriga Negra
443,Río Cebollatí entre Ao. Barriga Negra y Ao. Tapes Grande
444,Río Cebollatí entre Ao. Tapes Grande y Ao. Del Aiguá
445,Río Cebollati entre Ao. Del Aiguá y Ao. Gutiérrez
446,Ríio Cebollatí entre Ao. Gutiérrez y Ao. Corrales
447,Río Cebollatí entre Ao. Corrales y Río Olimar Grande
448,Río Cebollatí entre Río Olimar Grande y Ao. Parao
449,Río Cebollatí entre Ao. Parao y Laguna Merín
450,Laguna Merín entre Río Cebollatí y Ao. Estero De Pelotas
452,Laguna Merín entre Ao. Estero De Pelotas y Río San Luis
453,Ao. Quebracho / CANAL QUEBRACHO entre nacientes y Canal No. 1
454,Ao. India Muerta entre nacientes y Canal No. 1
455,Río San Luis entre Ao. India Muerta y Laguna Blanca
457,Río San Luis entre Laguna Blanca y Laguna Merín
458,Laguna Merín entre Río San Luis y Ao. San Miguel
459,Ao. San Miguel
501,Río Negro entre Ao. San Luis y Ao. Del Hospital
502,Río Negro entre Ao. Del Hospital y Ao. Lechiguana
503,Río Negro entre Ao. Lechiguana y Ao. Bañados De Aceguá
504,Río Negro entre Ao. Bañados De Aceguá y Ao. Zapallar
505,Río Negro entre Ao. Zapallar y Ao. Fraile Muerto
506,Río Negro entre Ao. Fraile Muerto y Ao. Tupambaé
507,Río Negro entre Ao. Tupambaé y Ao. Tarariras
508,Río Negro entre Ao. Tarariras y Ao. Del Cordobés
509,Río Negro entre Ao. Del Cordobés y Río Tacuarembó
510,Río Tacuarembó entre nacientes y Ao. Aurora
511,Río Tacuarembó entre Ao. Aurora y Ao. Valiente
512,Río Tacuarembó entre Ao. Valiente y Ao. Lunarejo
513,Río Tacuarembó entre Ao. Lunarejo y Ao. Laureles
514,Río Tacuarembó entre Ao. Laureles y Ao. De Las Cañas
515,Río Tacuarembó entre Ao. De Las Cañas y Ao. Carpintería
516,Río Tacuarembó entre Ao. Carpintería y Ao. Cuñapirú
517,Río Tacuarembó entre Ao. Cuñapirú y Ao. Buena Orden
518,Río Tacuarembó entre Ao. Buena Orden y Ao. Zapucay
519,Río Tacuarembó entre Ao. Zapucay y Ao. Tacuarembó Chico
520,Ao. Tacuarembó Chico entre nacientes y Ao. Tranqueras
522,Ao. Tacuarembó Chico entre Ao. Tranqueras y Ao. Tres Cruces
524,Ao. Tacuarembó Chico entre Ao. Tres Cruces y Ao. Batoví
526,Ao. Tacuarembó Chico entre Ao. Batoví y Río Tacuarembó
530,Río Tacuarembó entre Ao. Tacuarembó Chico y Ao. Veras
532,Río Tacuarembó entre Ao. Veras y Ao. Del Sauce
534,Río Tacuarembó entre Ao. Del Sauce y Ao. Yaguarí
536,Río Tacuarembó entre Ao. Yaguarí y Ao. Caraguatá
538,Río Tacuarembó entre Ao. Caraguatá y Río Negro
540,Río Negro entre Río Tacuarembó y Ao. Malo
541,Ao. De Clara entre nacientes y Ao. Malo
542,Río Negro entre Ao. Malo y Ao. Sarandí
543,Río Negro entre Ao. Sarandí y Ao. De Las Cañas
544,Río Negro entre Ao. De Las Cañas y Ao. Chileno Grande
545,Río Negro entre Ao. Chileno Grande y Ao. Laureles
546,Río Negro entre Ao. Laureles y Ao. Carpintería
548,Río Negro entre Ao. Carpintería y Ao. Cardozo
549,Río Negro entre Ao. Cardozo y Rincón del Bonete
550,Río Negro entre Rincón del Bonete y Ao. Minas De Callorda
551,Río Negro entre Ao. Minas De Callorda y Ao. De Los Molles
552,Río Negro entre Ao. De Los Molles y Ao. Del Tala
553,Río Negro entre Ao. Del Tala y Ao. Salsipuedes Grande
554,Río Negro entre Ao. Salsipuedes Grande y Ao. Tres Árboles
555,Río Negro entre Ao. Tres Árboles y Ao. Rolón
556,Río Negro entre Ao. Rolón y Ao. Molles De Porrúa
557,Río Negro entre Ao. Molles De Porrúa y Ao. Moles De Quinteros
558,Río Negro entre Ao. Moles De Quinteros y Ao. Ramírez Grande
559,Río Negro entre Ao. Ramírez Grande y Río Yí
560,Río Yí entre nacientes y Ao. Illescas
561,Río Yí entre Ao. Illescas y Ao. Antonio Herrera
562,Río Yí entre Ao. Antonio Herrera y Ao. Mansavillagra
563,Río Yí entre Ao. Mansavillagra y Ao. Timote
564,Río Yí entre Ao. Timote y Ao. De Castro
565,Río Yí entre Ao. De Castro y Ao. Tomás Cuadra
566,Río Yí entre Ao. Tomás Cuadra y Ao. Maciel
567,Río Yí entre Ao. Maciel y Ao. Porongos
568,Río Yí entre Ao. Porongos y Ao. Marincho
569,Río Yí entre Ao. Marincho y Río Negro
