fecha_emision,lead,fecha_pronostico,QC_hist,ens_prom,ens_1989,ens_1990,ens_1991,ens_1992,ens_1993,ens_1994,ens_1995,ens_1996,ens_1997,ens_1998,ens_1999,ens_2000,ens_2001,ens_2002,ens_2003,ens_2004,ens_2005,ens_2006,ens_2007,ens_2008,ens_2009,ens_2010,ens_2011,ens_2012,ens_2013,ens_2014,ens_2015,ens_2016,ens_2017,ens_2018,ens_2019,ens_2020
1991-05-15,1,1991-06-15,510.616,351.105,,80.685,,,273.229,78.701,356.356,,240.156,,,,527.620,90.781,399.791,126.836,616.194,1701.963,103.732,,137.990,219.101,,,71.475,146.581,80.353,,71.475,,1086.736,612.355
1991-05-15,2,1991-07-15,840.144,264.529,,34.790,,,249.295,159.942,382.872,,120.556,,,,259.803,306.003,237.859,147.622,401.676,422.356,50.722,,300.520,342.062,,,251.927,825.784,36.235,,130.306,,425.021,205.222
1991-05-15,3,1991-08-15,529.739,354.513,,13.036,,,323.452,100.886,154.297,,191.730,,,,855.783,204.533,446.643,121.507,460.137,253.733,152.946,,164.350,296.414,,,124.380,229.085,1307.144,,1303.968,,229.558,156.687
1991-05-15,4,1991-09-15,620.062,310.253,,4.844,,,148.199,134.008,57.465,,97.383,,,,296.839,170.606,777.187,108.256,362.703,127.706,388.160,,88.428,244.226,,,462.511,1073.250,265.886,,1022.127,,197.539,177.741
1991-05-15,5,1991-10-15,638.585,440.866,,8.790,,,794.026,258.648,30.425,,110.895,,,,1466.689,109.800,254.420,306.623,176.342,301.177,865.844,,609.039,106.446,,,174.007,1485.492,204.147,,484.762,,920.112,149.644
1991-05-15,6,1991-11-15,432.023,303.009,,31.398,,,1796.004,119.751,57.123,,102.908,,,,611.878,95.757,233.212,131.324,73.827,151.862,238.525,,766.565,39.553,,,117.105,860.609,112.787,,201.846,,241.832,76.322
1991-06-15,1,1991-07-15,840.144,404.225,,193.580,,,314.548,464.458,434.481,,200.386,,,,274.471,584.882,306.404,314.180,405.396,308.502,166.153,,480.272,,,166.705,594.322,1077.276,226.195,,536.667,878.160,364.896,196.791
1991-06-15,2,1991-08-15,529.739,452.443,,85.033,,,352.858,223.119,171.640,,257.053,,,,864.985,302.259,502.332,222.588,462.795,209.353,272.428,,239.248,,,750.693,242.549,280.282,1610.984,,1532.778,556.004,207.226,155.108
1991-06-15,3,1991-09-15,620.062,353.414,,31.625,,,159.121,192.393,63.958,,120.713,,,,299.523,214.859,825.449,156.438,363.371,110.664,479.608,,119.195,,,350.098,638.210,1100.124,314.686,,1085.551,429.093,189.086,177.929
1991-06-15,4,1991-10-15,638.585,484.427,,23.397,,,799.567,289.109,33.409,,123.973,,,,1467.808,128.249,266.915,339.682,176.596,293.524,908.982,,652.031,,,968.876,215.842,1494.566,225.583,,506.778,191.181,916.853,150.049
1991-06-15,5,1991-11-15,432.023,313.259,,66.946,,,1797.923,132.493,59.602,,109.501,,,,612.266,104.644,239.465,146.271,73.925,149.083,250.842,,785.728,,,248.531,134.536,863.726,122.109,,209.974,153.718,240.648,76.511
1991-06-15,6,1991-12-15,352.319,218.721,,43.779,,,840.501,55.063,38.665,,794.243,,,,249.252,336.808,115.232,60.562,27.469,110.067,93.207,,350.574,,,336.490,64.477,286.947,53.328,,78.177,532.542,97.339,28.430
1991-07-15,1,1991-08-15,529.739,592.655,,243.466,,,478.484,292.299,241.174,,538.717,,,,986.332,338.904,641.364,347.642,551.084,345.677,600.574,,299.410,,,1108.491,304.968,257.384,1855.618,,1592.532,531.320,297.652,
1991-07-15,2,1991-09-15,620.062,407.891,,93.892,,,204.886,228.257,90.389,,215.828,,,,342.310,229.767,879.538,209.562,395.881,168.381,605.059,,142.965,,,450.722,690.194,1086.757,370.926,,1102.842,420.680,228.981,
