,longitude,latitude,drain_area,station_code,unique_gauge_id,provider,data_source,altitude,river,gauge_serial_number,state,site_name,organization,warning_level,danger_level,extreme_danger_level,district,gauge_id,has_third_party_water_level_forecast,is_dam,division,upazilla,ffdata_station_alias,manual_hybas_id,from_date,to_date,pre_monsoon_danger_level,highest_flood_level,is_alerting,village,subdistrict,is_external_polygon,HYBAS_ID,original_hybas_id,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER,SORT,predecessors,continent
657,-54.3734,-32.5651,,1840,DNAUY_1840,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Paso de los Carros,,,,,,,,,,,,,,,,,,,,False,6121321270,6121321270,6120878620,6120015940,6120015940,328.6,328.6,180.0,180.0,641405029520,0,0,2,86396,[],SOUTH_AMERICA
658,-54.9023,-32.7283,,1882,DNAUY_1882,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Laguna del Junco,,,,,,,,,,,,,,,,,,,,False,6120880700,6120880700,6120879680,6120016720,6120016720,598.5,598.5,233.6,233.6,641609405000,0,0,2,87257,[],SOUTH_AMERICA
659,-55.5186,-32.8388,,1973,DNAUY_1973,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Capilla Farruco,,,,,,,,,,,,,,,,,,,,False,6120882710,6120882710,6121322510,6120016720,6120016720,471.8,471.8,158.8,158.8,641607702200,0,0,3,87140,[],SOUTH_AMERICA
660,-55.9471,-32.1678,,1605,DNAUY_1605,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Paso de los Cuadrados,,,,,,,,,,,,,,,,,,,,False,6121320300,6121320300,6120877040,6120016720,6120016720,511.5,511.5,218.8,953.5,641607803200,0,0,2,87160,"['6120875780', '6120875750']",SOUTH_AMERICA
661,-55.8403,-32.2866,,1692,DNAUY_1692,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Paso Hondo,,,,,,,,,,,,,,,,,,,,False,6121320850,6121320850,6121321000,6120016720,6120016720,487.9,487.9,232.2,1699.6,641607801300,0,0,2,87148,"['6120877090', '6120877040']",SOUTH_AMERICA
662,-56.2877,-32.6579,,1869,DNAUY_1869,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Cardozo,,,,,,,,,,,,,,,,,,,,False,6121322000,6121322000,6120882250,6120016720,6120016720,378.0,378.0,83.1,384.7,641607308320,0,0,2,87066,['6121321680'],SOUTH_AMERICA
663,-55.5745,-32.7301,,1875,DNAUY_1875,DNAUY,uruguay_metadata_jan_2024.csv,,,,,La Paloma,,,,,,,,,,,,,,,,,,,,False,6121322130,6121322130,6120880510,6120016720,6120016720,445.6,445.6,153.3,754.1,641607702120,0,0,2,87124,['6121322510'],SOUTH_AMERICA
664,-56.2839,-32.8729,,1917,DNAUY_1917,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Estancia Iberia,,,,,,,,,,,,,,,,,,,,False,6120882580,6120882580,6120882530,6120016720,6120016720,365.0,365.0,68.7,1024.8,641607401000,0,0,2,87052,"['6120883190', '6120883240']",SOUTH_AMERICA
665,-58.221219,-32.477173,,2233,DNAUY_2233,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Concepcion del Uruguay,,,,,,,,,,,,,,,,,,,,False,6120878790,6120878790,6120878740,6120016760,6120016760,58.1,58.1,16.4,302.7,641811060210,0,0,3,87408,"['6120879570', '6120879610']",SOUTH_AMERICA
666,-56.866533,-33.905497,,SJ01,DNAUY_SJ01,DNAUY,uruguay_metadata_jan_2024.csv,,,,,SJ01,,,,,,,,,,,,,,,,,,,,False,6120894050,6120894050,6120894630,6120016370,6120016370,132.6,132.6,143.4,348.8,641504280100,0,0,3,86720,['6121326880'],SOUTH_AMERICA
